prompt,target
"Safe Conduct , however ambitious and well-intentioned , fails to hit the entertainment bull 's - eye .",0
It 's an experience in understanding a unique culture that is presented with universal appeal .,1
"Even if Britney Spears is really cute , her movie is really bad .",0
"All right , so it 's not a brilliant piece of filmmaking , but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast .",1
Fans of Behan 's work and of Irish movies in general will be rewarded by Borstal Boy .,1
"A bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker 's period pieces , is still very much worth seeing .",1
"All in all , Brown Sugar is a satisfying well-made romantic comedy that 's both charming and well acted .",1
"The storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .",1
"Scores no points for originality , wit , or intelligence .",0
"As the sulking , moody male hustler in the title role , ( Franco ) has all of Dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability .",0
A decent-enough nail-biter that stands a good chance of being the big hit Franklin needs to stay afloat in Hollywood .,1
Credibility levels are low and character development a non-starter .,0
Upper West Sidey exercise in narcissism and self-congratulation disguised as a tribute .,0
... one of the more influential works of the ` Korean New Wave ' .,1
Nothing more than four or five mild chuckles surrounded by 86 minutes of overly-familiar and poorly-constructed comedy .,0
It gets old quickly .,0
"In fact , it does n't even seem like she tried .",0
"It 's a spectacular performance - ahem , we hope it 's only acting .",1
"At once subtle and visceral , the film never succumbs to the trap of the maudlin or tearful , offering instead with its unflinching gaze a measure of faith in the future .",1
A movie of riveting power and sadness .,1
"A soggy , shapeless mess ... just a dumb excuse for a waterlogged equivalent of a haunted-house movie .",0
"This miserable excuse of a movie runs on empty , believing Flatbush machismo will get it through .",0
"The obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack overwhelm what is left of the scruffy , dopey old Hanna-Barbera charm .",0
... the movie is just a plain old monster .,0
What 's most striking about this largely celebratory film ... is the sense of isolation that permeates these bastions of individuality in an Ikea world .,1
It 's Splash without the jokes .,0
` Stock up on silver bullets for director Neil Marshall 's intense freight train of a film . ',1
The movie is ingenious fun .,1
